WeatherPy_vacation,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,75.52,light rain,-23.1203,-134.9692,People ThankYou
2,Dingle,PH,76.78,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
5,Balung,ID,78.69,overcast clouds,-7.7333,113.9167,Kampung Nelayan Resort
9,Kavaratti,IN,81.91,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
18,Georgetown,MY,78.89,moderate rain,5.4112,100.3354,Cititel Penang
22,Kuah,MY,80.58,scattered clouds,6.3265,99.8432,Azio Hotel
24,Grand Gaube,MU,79.2,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
26,Mattru,SL,88.05,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
27,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
29,Butaritari,KI,80.1,moderate rain,3.0707,172.7902,Isles Sunset Lodge
30,Ambon,ID,82.87,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
32,Riyadh,SA,75.34,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
33,Port Hedland,AU,80.65,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
35,Bengkulu,ID,76.53,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
43,Karwar,IN,79.77,broken clouds,14.8,74.1333,Netalco Connects
46,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
48,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
53,Akhmim,EG,77.2,clear sky,26.5622,31.745,برج الماسة السكني
55,Castro,BR,82.9,clear sky,-24.7911,-50.0119,CHACARA BAILLY
60,Cavalcante,BR,79.88,broken clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
64,Biak,ID,77.23,scattered clouds,-0.9131,122.8766,Penginapan Kim
65,Qui Nhon,VN,76.71,broken clouds,13.7667,109.2333,Hoang Yen Canary Hotel
66,Bani Walid,LY,75.87,broken clouds,31.7566,13.9942,منزل الصابر أبوفانة
76,Sampit,ID,75.79,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
81,Cabo San Lucas,MX,76.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
82,Inyonga,TZ,86.83,broken clouds,-6.7167,32.0667,Eden Rock Lodge
85,Batticaloa,LK,79.03,overcast clouds,7.7102,81.6924,Grand Star Guest House
86,Yantzaza,EC,77.67,light rain,-3.8278,-78.7594,HOTEL ALEJANDRO YANTZAZA
87,Nhulunbuy,AU,81.21,few clouds,-12.2333,136.7667,East Arnhem Real Estate
93,Cape Town,ZA,76.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
94,Auki,SB,76.98,overcast clouds,-8.7676,160.7034,Auki Motel
103,Kailua,US,75.18,overcast clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
107,Faanui,PF,79.77,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
115,Hithadhoo,MV,82.26,overcast clouds,-0.6,73.0833,Scoop Guest House
116,Namibe,AO,81.23,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
117,Denpasar,ID,76.71,thunderstorm,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
