WeatherPy_Database_csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Boditi,ET,6.9667,37.8667,65.3,35,98,7.16,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,75.52,82,3,12.24,light rain
2,Dingle,PH,10.9995,122.6711,76.78,91,100,8.05,overcast clouds
3,Port Alfred,ZA,-33.5906,26.891,65.32,60,38,21.18,scattered clouds
4,Nikolskoye,RU,59.7035,30.7861,32.88,84,45,5.73,scattered clouds
5,Balung,ID,-7.7333,113.9167,78.69,81,100,3.76,overcast clouds
6,Roma,US,43.2128,-75.4557,33.12,76,1,3.44,clear sky
7,Asosa,ET,10.0667,34.5333,72.64,46,38,6.04,scattered clouds
8,Saint-Augustin,CA,51.226,-58.6502,42.78,85,100,25.88,overcast clouds
9,Kavaratti,IN,10.5669,72.642,81.91,75,29,13.18,scattered clouds
10,Avarua,CK,-21.2078,-159.775,73.45,68,100,5.75,overcast clouds
11,Qaanaaq,GL,77.484,-69.3632,-6.07,76,95,9.33,overcast clouds
12,Katsuura,JP,35.1333,140.3,55.42,62,3,26.35,clear sky
13,Barrow,US,71.2906,-156.7887,1.42,71,90,4.61,light snow
14,Hilo,US,19.7297,-155.09,67.24,72,1,6.91,clear sky
15,Hobart,AU,-42.8794,147.3294,61.27,86,100,0.0,overcast clouds
16,Lebu,CL,-37.6167,-73.65,61.18,67,0,18.32,clear sky
17,Ribeira Grande,PT,38.5167,-28.7,70.2,83,20,13.8,few clouds
18,Georgetown,MY,5.4112,100.3354,78.89,93,40,8.05,moderate rain
19,Matagami,CA,49.7502,-77.6328,15.91,100,90,10.36,light snow
20,Necochea,AR,-38.5473,-58.7368,66.04,30,12,1.74,few clouds
21,Mataura,NZ,-46.1927,168.8643,45.73,96,86,2.01,overcast clouds
22,Kuah,MY,6.3265,99.8432,80.58,94,40,3.44,scattered clouds
23,Tombouctou,ML,20.0,-3.0,91.99,18,100,6.73,overcast clouds
24,Grand Gaube,MU,-20.0064,57.6608,79.2,83,34,1.99,scattered clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,60.82,72,0,5.01,clear sky
26,Mattru,SL,7.6244,-11.8332,88.05,57,54,3.18,broken clouds
